Level of Difficulty,Scientific Domain,Model,Rater ID,Originality,Metaphoricity,Validity,Relevance to main metaphorical concept,Coherence of sub metaphorical concepts,Willingness to adopt,Inspirational effect
Advanced,Earth Science,gpt-3-10-vanila,E1,2,5,2,5,5,X,X
Elementary,Biology,gpt-3-0-vanila,E2,4,4,3,3,2,X,X
Elementary,Biology,gpt-3-0-vanila,E2,2,1,1,4,1,X,X
Elementary,Biology,gpt-3-0-vanila,E2,4,2,1,1,1,X,X
Elementary,Biology,gpt-3-0-vanila,E2,4,3,3,3,2,X,X
Elementary,Biology,gpt-3-0-vanila,E2,1,1,1,1,1,X,X
Intermediate,Biology,gpt-3-0-vanila,E2,4,3,4,4,4,O,X
Intermediate,Biology,gpt-3-0-vanila,E2,3,2,2,3,2,X,X
Intermediate,Biology,gpt-3-0-vanila,E2,4,4,4,4,4,O,O
Intermediate,Biology,gpt-3-0-vanila,E2,5,5,5,5,5,O,O
Intermediate,Biology,gpt-3-0-vanila,E2,4,4,3,3,3,O,X
Advanced,Biology,gpt-3-0-vanila,E2,3,4,4,3,3,X,X
Advanced,Biology,gpt-3-0-vanila,E2,5,5,5,5,5,O,O
Advanced,Biology,gpt-3-0-vanila,E2,3,2,2,2,2,X,X
Advanced,Biology,gpt-3-0-vanila,E2,3,3,3,3,3,X,X
Advanced,Biology,gpt-3-0-vanila,E2,3,2,2,3,2,X,X
Elementary,Chemistry,gpt-3-0-vanila,E2,4,4,3,4,5,x,x
Elementary,Chemistry,gpt-3-0-vanila,E2,2,3,1,3,3,x,o
Elementary,Chemistry,gpt-3-0-vanila,E2,4,5,3,4,5,x,x
Elementary,Chemistry,gpt-3-0-vanila,E2,3,2,3,3,3,x,O
Elementary,Chemistry,gpt-3-0-vanila,E2,3,5,3,3,3,x,x
Intermediate,Chemistry,gpt-3-0-vanila,E2,3,2,3,2,3,o,o
Intermediate,Chemistry,gpt-3-0-vanila,E2,4,5,3,3,3,x,x
Intermediate,Chemistry,gpt-3-0-vanila,E2,3,4,3,2,3,x,o
Intermediate,Chemistry,gpt-3-0-vanila,E2,3,5,3,4,3,x,x
Intermediate,Chemistry,gpt-3-0-vanila,E2,4,5,3,3,2,x,x
Advanced,Chemistry,gpt-3-0-vanila,E2,3,3,2,3,2,x,o
Advanced,Chemistry,gpt-3-0-vanila,E2,2,1,3,2,1,x,o
Advanced,Chemistry,gpt-3-0-vanila,E2,1,2,3,1,1,x,o
Advanced,Chemistry,gpt-3-0-vanila,E2,4,5,3,2,3,x,x
Advanced,Chemistry,gpt-3-0-vanila,E2,3,5,3,2,3,x,x
Elementary,Physics,gpt-3-0-vanila,E2,4,5,4,5,4,O,X
Elementary,Physics,gpt-3-0-vanila,E2,4,4,3,4,3,X,X
Elementary,Physics,gpt-3-0-vanila,E2,4,3,3,3,3,X,X
Elementary,Physics,gpt-3-0-vanila,E2,4,4,4,4,4,O,X
Elementary,Physics,gpt-3-0-vanila,E2,3,3,2,2,1,X,X
Intermediate,Physics,gpt-3-0-vanila,E2,3,4,4,4,3,X,X
Intermediate,Physics,gpt-3-0-vanila,E2,4,3,4,3,2,X,X
Intermediate,Physics,gpt-3-0-vanila,E2,4,3,4,4,3,X,X
Intermediate,Physics,gpt-3-0-vanila,E2,4,4,3,4,2,X,X
Intermediate,Physics,gpt-3-0-vanila,E2,4,3,3,4,3,X,X
Advanced,Physics,gpt-3-0-vanila,E2,5,5,5,5,5,O,O
Advanced,Physics,gpt-3-0-vanila,E2,5,4,4,4,4,O,X
Advanced,Physics,gpt-3-0-vanila,E2,1,1,1,1,1,X,X
Advanced,Physics,gpt-3-0-vanila,E2,5,5,5,5,5,O,X
Advanced,Physics,gpt-3-0-vanila,E2,5,5,5,5,5,O,X
Elementary,Biology,gpt-3-10-augmented,E2,5,5,5,5,5,O,O
Elementary,Biology,gpt-3-10-augmented,E2,4,3,2,4,2,X,X
Elementary,Biology,gpt-3-10-augmented,E2,5,5,5,5,5,O,O
Elementary,Biology,gpt-3-10-augmented,E2,5,4,5,5,5,O,X
Elementary,Biology,gpt-3-10-augmented,E2,4,3,3,3,2,X,X
Intermediate,Biology,gpt-3-10-augmented,E2,4,3,4,3,3,X,X
Intermediate,Biology,gpt-3-10-augmented,E2,5,5,5,5,5,O,O
Intermediate,Biology,gpt-3-10-augmented,E2,5,5,5,5,5,O,O
Intermediate,Biology,gpt-3-10-augmented,E2,4,3,3,2,1,X,X
Intermediate,Biology,gpt-3-10-augmented,E2,5,5,5,5,5,O,X
Advanced,Biology,gpt-3-10-augmented,E2,5,3,3,3,1,X,X
Advanced,Biology,gpt-3-10-augmented,E2,4,3,2,2,1,X,X
Advanced,Biology,gpt-3-10-augmented,E2,4,5,5,5,5,O,X
Advanced,Biology,gpt-3-10-augmented,E2,4,2,2,2,1,X,X
Advanced,Biology,gpt-3-10-augmented,E2,5,4,5,5,5,O,X
Elementary,Chemistry,gpt-3-10-augmented,E2,5,5,5,5,5,O,O
Elementary,Chemistry,gpt-3-10-augmented,E2,5,5,5,5,5,O,X
Elementary,Chemistry,gpt-3-10-augmented,E2,5,4,4,4,4,O,X
Elementary,Chemistry,gpt-3-10-augmented,E2,4,4,4,4,3,X,X
Elementary,Chemistry,gpt-3-10-augmented,E2,5,5,5,5,5,O,X
Intermediate,Chemistry,gpt-3-10-augmented,E2,4,3,3,3,2,X,X
Intermediate,Chemistry,gpt-3-10-augmented,E2,4,5,5,5,5,O,O
Intermediate,Chemistry,gpt-3-10-augmented,E2,5,5,5,5,5,O,X
Intermediate,Chemistry,gpt-3-10-augmented,E2,5,5,5,5,5,O,O
Intermediate,Chemistry,gpt-3-10-augmented,E2,4,4,4,5,5,O,X
Advanced,Chemistry,gpt-3-10-augmented,E2,5,5,5,5,5,O,O
Advanced,Chemistry,gpt-3-10-augmented,E2,5,4,4,4,4,O,X
Advanced,Chemistry,gpt-3-10-augmented,E2,5,5,5,4,4,O,X
Advanced,Chemistry,gpt-3-10-augmented,E2,5,4,4,5,5,X,O
Advanced,Chemistry,gpt-3-10-augmented,E2,5,5,4,5,5,X,X
Elementary,Physics,gpt-3-10-augmented,E2,4,4,4,5,4,O,O
Elementary,Physics,gpt-3-10-augmented,E2,4,4,4,5,4,O,O
Elementary,Physics,gpt-3-10-augmented,E2,4,4,4,5,4,O,O
Elementary,Physics,gpt-3-10-augmented,E2,4,3,3,4,3,X,X
Elementary,Physics,gpt-3-10-augmented,E2,5,4,5,5,4,O,O
Intermediate,Physics,gpt-3-10-augmented,E2,4,4,5,5,4,O,X
Intermediate,Physics,gpt-3-10-augmented,E2,5,4,4,5,4,O,X
Intermediate,Physics,gpt-3-10-augmented,E2,3,4,3,4,3,X,X
Intermediate,Physics,gpt-3-10-augmented,E2,5,5,5,5,5,O,X
Intermediate,Physics,gpt-3-10-augmented,E2,3,4,3,4,3,X,X
Advanced,Physics,gpt-3-10-augmented,E2,5,4,5,5,5,O,O
Advanced,Physics,gpt-3-10-augmented,E2,4,3,3,3,2,X,X
Advanced,Physics,gpt-3-10-augmented,E2,5,5,5,5,5,O,O
Advanced,Physics,gpt-3-10-augmented,E2,5,4,5,5,5,O,X
Advanced,Physics,gpt-3-10-augmented,E2,5,4,4,5,5,O,X
Elementary,Biology,gpt-3-10-vanila,E2,5,5,4,5,4,O,O
Elementary,Biology,gpt-3-10-vanila,E2,4,5,4,4,5,O,X
Elementary,Biology,gpt-3-10-vanila,E2,3,4,3,4,4,X,X
Elementary,Biology,gpt-3-10-vanila,E2,3,2,2,1,2,X,X
Elementary,Biology,gpt-3-10-vanila,E2,4,5,5,5,5,O,O
Intermediate,Biology,gpt-3-10-vanila,E2,5,5,5,5,5,O,O
Intermediate,Biology,gpt-3-10-vanila,E2,4,4,4,4,4,O,X
Intermediate,Biology,gpt-3-10-vanila,E2,3,2,2,2,1,X,X
Intermediate,Biology,gpt-3-10-vanila,E2,4,3,4,4,4,X,X
Intermediate,Biology,gpt-3-10-vanila,E2,4,5,5,5,5,O,O
Advanced,Biology,gpt-3-10-vanila,E2,4,3,4,3,3,X,X
Advanced,Biology,gpt-3-10-vanila,E2,5,5,5,5,5,O,O
Advanced,Biology,gpt-3-10-vanila,E2,3,2,2,2,3,X,X
Advanced,Biology,gpt-3-10-vanila,E2,4,4,4,4,4,O,O
Advanced,Biology,gpt-3-10-vanila,E2,5,5,5,5,5,O,O
Elementary,Chemistry,gpt-3-10-vanila,E2,5,5,5,5,5,O,O
Elementary,Chemistry,gpt-3-10-vanila,E2,3,5,5,4,4,O,X
Elementary,Chemistry,gpt-3-10-vanila,E2,4,5,5,5,5,O,O
Elementary,Chemistry,gpt-3-10-vanila,E2,5,4,4,4,4,X,O
Elementary,Chemistry,gpt-3-10-vanila,E2,3,2,3,2,2,X,X
Intermediate,Chemistry,gpt-3-10-vanila,E2,3,1,1,1,1,X,X
Intermediate,Chemistry,gpt-3-10-vanila,E2,5,4,4,4,4,O,O
Intermediate,Chemistry,gpt-3-10-vanila,E2,5,4,4,4,4,O,X
Intermediate,Chemistry,gpt-3-10-vanila,E2,4,3,3,2,2,X,X
Intermediate,Chemistry,gpt-3-10-vanila,E2,3,3,3,2,2,X,X
Advanced,Chemistry,gpt-3-10-vanila,E2,2,1,1,1,1,X,X
Advanced,Chemistry,gpt-3-10-vanila,E2,,,,,,,
Advanced,Chemistry,gpt-3-10-vanila,E2,1,1,1,1,1,X,X
Advanced,Chemistry,gpt-3-10-vanila,E2,5,4,4,5,5,O,O
Advanced,Chemistry,gpt-3-10-vanila,E2,4,3,3,2,3,X,X
Elementary,Physics,gpt-3-10-vanila,E2,4,5,5,5,5,O,O
Elementary,Physics,gpt-3-10-vanila,E2,4,4,3,4,4,X,X
Elementary,Physics,gpt-3-10-vanila,E2,4,5,5,4,5,O,O
Elementary,Physics,gpt-3-10-vanila,E2,4,5,5,4,5,O,X
Elementary,Physics,gpt-3-10-vanila,E2,3,2,3,1,2,X,X
Intermediate,Physics,gpt-3-10-vanila,E2,5,5,4,5,5,O,O
Intermediate,Physics,gpt-3-10-vanila,E2,3,5,4,4,4,O,X
Intermediate,Physics,gpt-3-10-vanila,E2,3,2,4,3,3,X,X
Intermediate,Physics,gpt-3-10-vanila,E2,3,2,2,1,2,X,X
Intermediate,Physics,gpt-3-10-vanila,E2,5,5,5,5,5,O,O
Advanced,Physics,gpt-3-10-vanila,E2,3,4,3,4,4,O,X
Advanced,Physics,gpt-3-10-vanila,E2,4,3,4,4,4,X,X
Advanced,Physics,gpt-3-10-vanila,E2,2,3,4,4,5,O,X
Advanced,Physics,gpt-3-10-vanila,E2,2,3,4,4,4,O,X
Advanced,Physics,gpt-3-10-vanila,E2,2,4,4,4,4,O,O
Elementary,Astronomy,gpt-3-0-vanila,E3,2,2,1,2,1,X,X
Elementary,Astronomy,gpt-3-0-vanila,E3,2,2,1,2,1,X,X
Elementary,Astronomy,gpt-3-0-vanila,E3,2,2,1,2,1,X,X
Elementary,Astronomy,gpt-3-0-vanila,E3,2,2,1,2,1,X,X
Elementary,Astronomy,gpt-3-0-vanila,E3,2,2,1,2,1,X,X
Intermediate,Astronomy,gpt-3-0-vanila,E3,1,1,1,1,1,X,X
Intermediate,Astronomy,gpt-3-0-vanila,E3,1,1,1,1,1,X,X
Intermediate,Astronomy,gpt-3-0-vanila,E3,1,1,1,1,1,X,X
Intermediate,Astronomy,gpt-3-0-vanila,E3,1,1,1,1,1,X,X
Intermediate,Astronomy,gpt-3-0-vanila,E3,1,1,1,1,1,X,X
Advanced,Astronomy,gpt-3-0-vanila,E3,2,2,1,2,1,X,X
Advanced,Astronomy,gpt-3-0-vanila,E3,2,2,1,2,1,X,X
Advanced,Astronomy,gpt-3-0-vanila,E3,2,2,1,2,1,X,X
Advanced,Astronomy,gpt-3-0-vanila,E3,2,2,1,2,1,X,X
Advanced,Astronomy,gpt-3-0-vanila,E3,2,2,1,2,1,X,X
Elementary,Computer Science,gpt-3-0-vanila,E3,2,2,1,1,1,X,X
Elementary,Computer Science,gpt-3-0-vanila,E3,3,4,4,4,4,O,O
Elementary,Computer Science,gpt-3-0-vanila,E3,2,2,1,2,1,X,X
Elementary,Computer Science,gpt-3-0-vanila,E3,2,2,1,2,1,X,X
Elementary,Computer Science,gpt-3-0-vanila,E3,3,3,3,3,3,O,X
Intermediate,Computer Science,gpt-3-0-vanila,E3,1,2,2,3,3,X,X
Intermediate,Computer Science,gpt-3-0-vanila,E3,3,4,3,4,4,O,X
Intermediate,Computer Science,gpt-3-0-vanila,E3,4,4,4,4,4,O,O
Intermediate,Computer Science,gpt-3-0-vanila,E3,4,4,4,4,4,O,O
Intermediate,Computer Science,gpt-3-0-vanila,E3,2,3,2,2,3,O,X
Advanced,Computer Science,gpt-3-0-vanila,E3,1,1,1,1,1,X,X
Advanced,Computer Science,gpt-3-0-vanila,E3,1,1,1,1,1,X,X
Advanced,Computer Science,gpt-3-0-vanila,E3,5,5,1,1,1,X,X
Advanced,Computer Science,gpt-3-0-vanila,E3,2,2,2,2,2,X,X
Advanced,Computer Science,gpt-3-0-vanila,E3,1,1,1,1,1,X,X
Elementary,Earth Science,gpt-3-0-vanila,E3,1,1,1,1,1,X,X
Elementary,Earth Science,gpt-3-0-vanila,E3,1,1,1,1,1,X,X
Elementary,Earth Science,gpt-3-0-vanila,E3,1,1,1,1,1,X,X
Elementary,Earth Science,gpt-3-0-vanila,E3,1,1,1,1,1,X,X
Elementary,Earth Science,gpt-3-0-vanila,E3,1,1,1,1,1,X,X
Intermediate,Earth Science,gpt-3-0-vanila,E3,1,1,1,1,1,X,X
Intermediate,Earth Science,gpt-3-0-vanila,E3,3,3,3,2,2,X,X
Intermediate,Earth Science,gpt-3-0-vanila,E3,1,1,1,1,1,X,X
Intermediate,Earth Science,gpt-3-0-vanila,E3,4,4,4,4,4,O,O
Intermediate,Earth Science,gpt-3-0-vanila,E3,4,4,4,4,4,O,O
Advanced,Earth Science,gpt-3-0-vanila,E3,1,1,1,1,1,X,X
Advanced,Earth Science,gpt-3-0-vanila,E3,1,1,1,1,1,X,X
Advanced,Earth Science,gpt-3-0-vanila,E3,1,1,1,1,1,X,X
Advanced,Earth Science,gpt-3-0-vanila,E3,1,1,1,1,1,X,X
Advanced,Earth Science,gpt-3-0-vanila,E3,1,1,1,1,1,X,X
Elementary,Astronomy,gpt-3-10-augmented,E3,1,2,3,3,2,X,X
Elementary,Astronomy,gpt-3-10-augmented,E3,1,2,3,3,2,X,X
Elementary,Astronomy,gpt-3-10-augmented,E3,1,2,3,3,2,X,X
Elementary,Astronomy,gpt-3-10-augmented,E3,1,2,3,3,2,X,X
Elementary,Astronomy,gpt-3-10-augmented,E3,1,2,3,3,3,X,X
Intermediate,Astronomy,gpt-3-10-augmented,E3,1,1,1,1,1,X,X
Intermediate,Astronomy,gpt-3-10-augmented,E3,1,1,1,1,1,X,X
Intermediate,Astronomy,gpt-3-10-augmented,E3,2,3,3,3,3,O,X
Intermediate,Astronomy,gpt-3-10-augmented,E3,1,1,1,1,1,X,X
Intermediate,Astronomy,gpt-3-10-augmented,E3,1,1,1,1,1,X,X
Advanced,Astronomy,gpt-3-10-augmented,E3,1,1,1,1,1,X,X
Advanced,Astronomy,gpt-3-10-augmented,E3,1,1,1,1,1,X,X
Advanced,Astronomy,gpt-3-10-augmented,E3,1,1,1,1,1,X,X
Advanced,Astronomy,gpt-3-10-augmented,E3,1,1,1,1,1,X,X
Advanced,Astronomy,gpt-3-10-augmented,E3,1,1,1,1,1,X,X
Elementary,Computer Science,gpt-3-10-augmented,E3,2,2,2,3,2,X,X
Elementary,Computer Science,gpt-3-10-augmented,E3,2,2,2,3,2,X,X
Elementary,Computer Science,gpt-3-10-augmented,E3,1,1,2,2,2,X,X
Elementary,Computer Science,gpt-3-10-augmented,E3,4,5,5,5,5,O,O
Elementary,Computer Science,gpt-3-10-augmented,E3,2,4,4,4,4,O,X
Intermediate,Computer Science,gpt-3-10-augmented,E3,4,4,4,4,4,O,X
Intermediate,Computer Science,gpt-3-10-augmented,E3,1,1,1,1,1,X,X
Intermediate,Computer Science,gpt-3-10-augmented,E3,3,3,3,3,3,O,X
Intermediate,Computer Science,gpt-3-10-augmented,E3,3,3,3,3,3,O,X
Intermediate,Computer Science,gpt-3-10-augmented,E3,3,3,3,3,3,O,X
Advanced,Computer Science,gpt-3-10-augmented,E3,1,1,1,1,1,X,X
Advanced,Computer Science,gpt-3-10-augmented,E3,1,1,1,1,1,X,X
Advanced,Computer Science,gpt-3-10-augmented,E3,1,1,1,1,1,X,X
Advanced,Computer Science,gpt-3-10-augmented,E3,1,1,1,1,1,X,X
Advanced,Computer Science,gpt-3-10-augmented,E3,1,1,1,1,1,X,X
Elementary,Earth Science,gpt-3-10-augmented,E3,1,1,1,1,1,X,X
Elementary,Earth Science,gpt-3-10-augmented,E3,3,3,1,1,1,X,X
Elementary,Earth Science,gpt-3-10-augmented,E3,2,3,1,1,1,X,X
Elementary,Earth Science,gpt-3-10-augmented,E3,2,2,3,3,3,X,X
Elementary,Earth Science,gpt-3-10-augmented,E3,2,2,3,3,3,X,X
Intermediate,Earth Science,gpt-3-10-augmented,E3,1,1,1,1,1,X,X
Intermediate,Earth Science,gpt-3-10-augmented,E3,4,4,4,4,4,O,O
Intermediate,Earth Science,gpt-3-10-augmented,E3,1,1,1,1,1,X,X
Intermediate,Earth Science,gpt-3-10-augmented,E3,1,1,1,1,1,X,X
Intermediate,Earth Science,gpt-3-10-augmented,E3,4,4,4,4,4,O,O
Advanced,Earth Science,gpt-3-10-augmented,E3,4,4,4,4,4,O,O
Advanced,Earth Science,gpt-3-10-augmented,E3,1,1,1,1,1,X,X
Advanced,Earth Science,gpt-3-10-augmented,E3,3,3,3,3,3,X,X
Advanced,Earth Science,gpt-3-10-augmented,E3,4,4,4,4,4,O,O
Advanced,Earth Science,gpt-3-10-augmented,E3,4,4,4,4,4,O,O
Elementary,Astronomy,gpt-3-10-vanila,E3,2,3,3,3,3,X,X
Elementary,Astronomy,gpt-3-10-vanila,E3,2,3,3,3,3,X,X
Elementary,Astronomy,gpt-3-10-vanila,E3,2,3,3,3,3,X,X
Elementary,Astronomy,gpt-3-10-vanila,E3,2,3,3,3,3,O,X
Elementary,Astronomy,gpt-3-10-vanila,E3,2,3,3,3,3,X,X
Intermediate,Astronomy,gpt-3-10-vanila,E3,1,1,2,2,2,X,X
Intermediate,Astronomy,gpt-3-10-vanila,E3,1,1,2,2,2,X,X
Intermediate,Astronomy,gpt-3-10-vanila,E3,2,2,2,2,2,X,X
Intermediate,Astronomy,gpt-3-10-vanila,E3,1,1,2,2,2,X,X
Intermediate,Astronomy,gpt-3-10-vanila,E3,2,3,3,4,4,O,X
Advanced,Astronomy,gpt-3-10-vanila,E3,1,1,1,1,1,X,X
Advanced,Astronomy,gpt-3-10-vanila,E3,1,1,1,1,1,X,X
Advanced,Astronomy,gpt-3-10-vanila,E3,1,2,2,2,2,X,X
Advanced,Astronomy,gpt-3-10-vanila,E3,1,1,1,1,1,X,X
Advanced,Astronomy,gpt-3-10-vanila,E3,1,1,1,1,1,X,X
Elementary,Computer Science,gpt-3-10-vanila,E3,1,2,4,4,4,X,X
Elementary,Computer Science,gpt-3-10-vanila,E3,2,2,4,4,4,O,X
Elementary,Computer Science,gpt-3-10-vanila,E3,3,2,2,2,2,X,X
Elementary,Computer Science,gpt-3-10-vanila,E3,3,2,2,2,2,X,X
Elementary,Computer Science,gpt-3-10-vanila,E3,2,2,4,4,4,O,X
Intermediate,Computer Science,gpt-3-10-vanila,E3,2,2,4,4,4,O,X
Intermediate,Computer Science,gpt-3-10-vanila,E3,2,2,4,4,4,O,X
Intermediate,Computer Science,gpt-3-10-vanila,E3,2,2,4,4,4,O,X
Intermediate,Computer Science,gpt-3-10-vanila,E3,2,2,4,4,4,O,X
Intermediate,Computer Science,gpt-3-10-vanila,E3,1,1,1,1,1,X,X
Advanced,Computer Science,gpt-3-10-vanila,E3,1,1,1,1,1,X,X
Advanced,Computer Science,gpt-3-10-vanila,E3,1,1,1,1,1,X,X
Advanced,Computer Science,gpt-3-10-vanila,E3,1,1,1,1,1,X,X
Advanced,Computer Science,gpt-3-10-vanila,E3,1,1,1,1,1,X,X
Advanced,Computer Science,gpt-3-10-vanila,E3,1,1,1,1,1,X,X
Elementary,Earth Science,gpt-3-10-vanila,E3,1,1,1,1,1,X,X
Elementary,Earth Science,gpt-3-10-vanila,E3,1,1,1,1,1,X,X
Elementary,Earth Science,gpt-3-10-vanila,E3,1,2,2,2,1,X,X
Elementary,Earth Science,gpt-3-10-vanila,E3,1,2,2,2,2,X,X
Elementary,Earth Science,gpt-3-10-vanila,E3,1,1,1,2,2,X,X
Intermediate,Earth Science,gpt-3-10-vanila,E3,2,2,1,1,1,X,X
Intermediate,Earth Science,gpt-3-10-vanila,E3,2,2,2,2,2,X,X
Intermediate,Earth Science,gpt-3-10-vanila,E3,2,2,2,2,2,X,X
Intermediate,Earth Science,gpt-3-10-vanila,E3,1,1,1,1,1,X,X
Intermediate,Earth Science,gpt-3-10-vanila,E3,1,1,1,1,1,X,X
Advanced,Earth Science,gpt-3-10-vanila,E3,2,2,2,2,2,X,X
Advanced,Earth Science,gpt-3-10-vanila,E3,5,5,5,5,5,O,O
Advanced,Earth Science,gpt-3-10-vanila,E3,5,5,5,5,5,O,O
Advanced,Earth Science,gpt-3-10-vanila,E3,1,1,1,1,1,X,X
Advanced,Earth Science,gpt-3-10-vanila,E3,4,4,4,4,4,O,O
